ReportingArea,MMWRYear,MMWRWeek,IPD_all,IPD_u5,IPD_o5,School,sub_region_1,mmwr_week,7dayavg_retail_rec,7dayavg_grocery,7dayavg_parks,7dayavg_transit,7dayavg_work,7dayavg_res
LOUISIANA,2016,5,6,1,5,0,,,,,,,,
MAINE,2016,5,1,0,1,0,,,,,,,,
MARYLAND,2016,5,3,0,3,0,,,,,,,,
MICHIGAN,2016,5,5,0,5,0,,,,,,,,
MISSISSIPPI,2016,5,2,0,2,0,,,,,,,,
NEBRASKA,2016,5,5,1,4,0,,,,,,,,
NEW YORK,2016,5,20,2,18,0,,,,,,,,
NORTH DAKOTA,2016,5,1,0,1,0,,,,,,,,
OHIO,2016,5,33,3,30,0,,,,,,,,
PENNSYLVANIA,2016,5,6,0,6,0,,,,,,,,
SOUTH CAROLINA,2016,5,5,0,5,0,,,,,,,,
TENNESSEE,2016,5,16,1,15,0,,,,,,,,
TEXAS,2016,5,24,2,22,0,,,,,,,,
VERMONT,2016,5,3,0,3,0,,,,,,,,
WISCONSIN,2016,5,7,0,7,0,,,,,,,,
ALABAMA,2016,6,1,1,0,0,,,,,,,,
ALASKA,2016,6,1,0,1,0,,,,,,,,
ARIZONA,2016,6,34,3,31,0,,,,,,,,
ARKANSAS,2016,6,1,0,1,0,,,,,,,,
DELAWARE,2016,6,1,0,1,0,,,,,,,,
DISTRICT OF COLUMBIA,2016,6,3,0,3,0,,,,,,,,
FLORIDA,2016,6,10,1,9,0,,,,,,,,
GEORGIA,2016,6,7,1,6,0,,,,,,,,
LOUISIANA,2016,6,10,0,10,0,,,,,,,,
MAINE,2016,6,2,1,1,0,,,,,,,,
MARYLAND,2016,6,10,1,9,0,,,,,,,,
MICHIGAN,2016,6,11,0,11,0,,,,,,,,
MISSISSIPPI,2016,6,3,0,3,0,,,,,,,,
MONTANA,2016,6,2,0,2,0,,,,,,,,
NEBRASKA,2016,6,2,0,2,0,,,,,,,,
NEVADA,2016,6,2,0,2,0,,,,,,,,
NEW MEXICO,2016,6,2,1,1,0,,,,,,,,
NEW YORK,2016,6,8,0,8,0,,,,,,,,
OHIO,2016,6,26,2,24,0,,,,,,,,
PENNSYLVANIA,2016,6,4,0,4,0,,,,,,,,
SOUTH CAROLINA,2016,6,8,0,8,0,,,,,,,,
SOUTH DAKOTA,2016,6,3,0,3,0,,,,,,,,
TENNESSEE,2016,6,15,1,14,0,,,,,,,,
TEXAS,2016,6,48,3,45,0,,,,,,,,
WISCONSIN,2016,6,6,1,5,0,,,,,,,,
ALABAMA,2016,7,5,0,5,0,,,,,,,,
ALASKA,2016,7,1,1,0,0,,,,,,,,
ARIZONA,2016,7,41,3,38,0,,,,,,,,
ARKANSAS,2016,7,1,0,1,0,,,,,,,,
DELAWARE,2016,7,2,0,2,0,,,,,,,,
FLORIDA,2016,7,21,1,20,0,,,,,,,,
GEORGIA,2016,7,6,0,6,0,,,,,,,,
HAWAII,2016,7,2,0,2,0,,,,,,,,
LOUISIANA,2016,7,8,1,7,0,,,,,,,,
MARYLAND,2016,7,8,1,7,0,,,,,,,,
MICHIGAN,2016,7,7,0,7,0,,,,,,,,
MISSISSIPPI,2016,7,5,2,3,0,,,,,,,,
MONTANA,2016,7,1,0,1,0,,,,,,,,
NEBRASKA,2016,7,2,0,2,0,,,,,,,,
NEW MEXICO,2016,7,2,0,2,0,,,,,,,,
NEW YORK,2016,7,20,2,18,0,,,,,,,,
NORTH DAKOTA,2016,7,1,0,1,0,,,,,,,,
OHIO,2016,7,20,0,20,0,,,,,,,,
OKLAHOMA,2016,7,0,1,0,0,,,,,,,,
PENNSYLVANIA,2016,7,10,0,10,0,,,,,,,,
SOUTH CAROLINA,2016,7,8,0,8,0,,,,,,,,
SOUTH DAKOTA,2016,7,3,0,3,0,,,,,,,,
TENNESSEE,2016,7,14,1,13,0,,,,,,,,
TEXAS,2016,7,33,0,33,0,,,,,,,,
VERMONT,2016,7,2,0,2,0,,,,,,,,
WISCONSIN,2016,7,4,1,3,0,,,,,,,,
ALABAMA,2016,8,2,0,2,0,,,,,,,,
ALASKA,2016,8,3,1,2,0,,,,,,,,
ARIZONA,2016,8,44,2,42,0,,,,,,,,
ARKANSAS,2016,8,4,1,3,0,,,,,,,,
DISTRICT OF COLUMBIA,2016,8,1,0,1,0,,,,,,,,
FLORIDA,2016,8,20,1,19,0,,,,,,,,
GEORGIA,2016,8,16,1,15,0,,,,,,,,
LOUISIANA,2016,8,16,2,14,0,,,,,,,,
MAINE,2016,8,1,0,1,0,,,,,,,,
MARYLAND,2016,8,15,3,12,0,,,,,,,,
MASSACHUSETTS,2016,8,5,0,5,0,,,,,,,,
MICHIGAN,2016,8,9,0,9,0,,,,,,,,
MISSISSIPPI,2016,8,7,2,5,0,,,,,,,,
NEBRASKA,2016,8,2,0,2,0,,,,,,,,
NEW MEXICO,2016,8,3,0,3,0,,,,,,,,
NEW YORK,2016,8,26,0,26,0,,,,,,,,
NORTH DAKOTA,2016,8,1,0,1,0,,,,,,,,
OHIO,2016,8,30,5,25,0,,,,,,,,
OKLAHOMA,2016,8,0,1,0,0,,,,,,,,
PENNSYLVANIA,2016,8,8,0,8,0,,,,,,,,
RHODE ISLAND,2016,8,1,0,1,0,,,,,,,,
SOUTH CAROLINA,2016,8,4,0,4,0,,,,,,,,
SOUTH DAKOTA,2016,8,1,0,1,0,,,,,,,,
TENNESSEE,2016,8,9,1,8,0,,,,,,,,
TEXAS,2016,8,34,5,29,0,,,,,,,,
WISCONSIN,2016,8,6,0,6,0,,,,,,,,
ALABAMA,2016,9,1,0,1,0,,,,,,,,
ALASKA,2016,9,1,0,1,0,,,,,,,,
ARIZONA,2016,9,25,0,25,0,,,,,,,,
