ReportingArea,MMWRYear,MMWRWeek,7dayavg_retail_rec,7dayavg_grocery,7dayavg_parks,7dayavg_transit,7dayavg_work,7dayavg_res
New York,2020,17,17,-54,-17,-14,-60,-50
New York,2020,18,18,-49,-10,-2,-57,-47
New York,2020,19,19,-48,-11,15,-55,-44
New York,2020,20,20,-44,-8,23,-53,-43
New York,2020,21,21,-42,-8,43,-51,-42
New York,2020,22,22,-40,-6,33,-49,-36
New York,2020,23,23,-34,-3,59,-45,-34
New York,2020,24,24,-30,0,68,-43,-33
New York,2020,25,25,-29,-2,62,-40,-33
New York,2020,26,26,-28,1,70,-42,-37
New York,2020,27,27,-27,-4,50,-41,-34
New York,2020,28,28,-23,-2,77,-39,-32
New York,2020,29,29,-24,-5,66,-40,-32
New York,2020,30,30,-22,-4,74,-38,-33
New York,2020,31,31,-22,-5,61,-39,-33
New York,2020,32,32,-22,-5,75,-38,-33
New York,2020,33,33,-22,-6,64,-39,-33
New York,2020,34,34,-22,-7,55,-39,-32
New York,2020,35,35,-19,-4,81,-39,-32
New York,2020,36,36,-21,-6,57,-38,-35
New York,2020,37,37,-20,-7,47,-36,-29
New York,2020,38,38,-20,-7,42,-36,-28
New York,2020,39,39,-21,-5,27,-36,-28
New York,2020,40,40,-22,-6,33,-36,-28
New York,2020,41,41,-25,-8,14,-37,-29
New York,2020,42,42,-24,-7,15,-36,-27
New York,2020,43,43,-26,-9,-11,-40,-28
New York,2020,44,44,-24,-8,14,-38,-27
New York,2020,45,45,-26,-9,-5,-40,-29
New York,2020,46,46,-29,-9,-13,-40,-29
New York,2020,47,47,-33,-10,-10,-44,-39
New York,2020,48,48,-31,-11,-25,-44,-30
New York,2020,49,49,-29,-9,-16,-42,-29
New York,2020,50,50,-32,-11,-31,-43,-33
New York,2020,51,51,-32,-10,-24,-46,-40
New York,2020,52,-33,-14,-23,-48,-41,15
North Carolina,2020,7,7,0,-1,7,1,-4
North Carolina,2020,8,8,7,1,12,7,3
North Carolina,2020,9,9,10,5,22,5,3
North Carolina,2020,10,10,5,13,44,-2,-1
North Carolina,2020,11,11,-22,11,26,-26,-22
North Carolina,2020,12,12,-38,-9,1,-45,-35
North Carolina,2020,13,13,-40,-13,7,-49,-42
North Carolina,2020,14,14,-41,-8,12,-50,-45
North Carolina,2020,15,15,-40,-14,1,-50,-43
North Carolina,2020,16,16,-36,-11,10,-48,-41
North Carolina,2020,17,17,-30,-5,28,-43,-39
North Carolina,2020,18,18,-27,0,20,-40,-37
North Carolina,2020,19,19,-25,-1,52,-35,-34
North Carolina,2020,20,20,-26,-4,18,-36,-33
North Carolina,2020,21,21,-21,-2,50,-32,-32
North Carolina,2020,22,22,-15,3,72,-26,-26
North Carolina,2020,23,23,-14,2,75,-25,-26
North Carolina,2020,24,24,-15,2,58,-27,-26
North Carolina,2020,25,25,-14,2,77,-23,-27
North Carolina,2020,26,26,-15,4,92,-24,-34
North Carolina,2020,27,27,-14,0,69,-23,-28
North Carolina,2020,28,28,-13,1,82,-23,-27
North Carolina,2020,29,29,-13,0,74,-23,-27
North Carolina,2020,30,30,-12,0,77,-24,-28
North Carolina,2020,31,31,-13,-1,65,-24,-28
North Carolina,2020,32,32,-14,-2,65,-24,-28
North Carolina,2020,33,33,-15,-3,63,-25,-27
North Carolina,2020,34,34,-16,-3,52,-27,-26
North Carolina,2020,35,35,-11,0,68,-22,-27
North Carolina,2020,36,36,-15,-3,68,-25,-31
North Carolina,2020,37,37,-13,-4,59,-25,-25
North Carolina,2020,38,38,-14,-4,50,-26,-24
North Carolina,2020,39,39,-12,-2,49,-25,-24
North Carolina,2020,40,40,-15,-5,43,-26,-24
North Carolina,2020,41,41,-13,-3,56,-22,-24
North Carolina,2020,42,42,-14,-4,51,-23,-23
North Carolina,2020,43,43,-14,-3,29,-26,-23
North Carolina,2020,44,44,-13,-4,39,-27,-22
North Carolina,2020,45,45,-17,-6,12,-32,-24
North Carolina,2020,46,46,-16,-3,15,-30,-22
North Carolina,2020,47,47,-21,-4,21,-32,-36
North Carolina,2020,48,48,-16,-4,0,-33,-22
North Carolina,2020,49,49,-16,-4,8,-34,-22
North Carolina,2020,50,50,-17,-4,-16,-33,-23
North Carolina,2020,51,51,-23,-4,-6,-34,-41
North Carolina,2020,52,-21,-7,-6,-35,-38,12
North Dakota,2020,7,7,5,-2,7,6,-1
North Dakota,2020,8,8,8,2,13,7,3
North Dakota,2020,9,9,9,4,20,6,3
North Dakota,2020,10,10,5,12,13,3,1
North Dakota,2020,11,11,-24,12,-5,-15,-17
North Dakota,2020,12,12,-42,-9,22,-27,-28
North Dakota,2020,13,13,-45,-12,2,-36,-33
North Dakota,2020,14,14,-43,-8,6,-37,-36
North Dakota,2020,15,15,-43,-18,-3,-37,-34
North Dakota,2020,16,16,-35,-10,40,-31,-32
North Dakota,2020,17,17,-27,-5,59,-24,-30
North Dakota,2020,18,18,-19,1,34,-23,-27
North Dakota,2020,19,19,-16,-1,68,-19,-25
North Dakota,2020,20,20,-9,4,122,-12,-24
North Dakota,2020,21,21,-9,2,140,-11,-26
North Dakota,2020,22,22,-5,6,146,-7,-19
North Dakota,2020,23,23,-3,4,167,-5,-18
North Dakota,2020,24,24,-1,6,175,-3,-18
North Dakota,2020,25,25,-1,6,205,0,-18
North Dakota,2020,26,26,-4,8,200,-5,-27
North Dakota,2020,27,27,-3,3,190,0,-21
North Dakota,2020,28,28,-2,4,188,1,-20
North Dakota,2020,29,29,-3,4,178,0,-20
North Dakota,2020,30,30,-2,5,192,2,-20
North Dakota,2020,31,31,-3,5,184,2,-20
North Dakota,2020,32,32,-3,2,155,-1,-21
North Dakota,2020,33,33,-3,1,159,-1,-19
North Dakota,2020,34,34,-4,-1,57,-3,-19
North Dakota,2020,35,35,-3,0,NA,-1,-20
North Dakota,2020,36,36,-7,-4,138,-5,-26
North Dakota,2020,37,37,-4,-4,123,-3,-18
North Dakota,2020,38,38,-8,-5,89,-7,-18
North Dakota,2020,39,39,-8,-4,58,-7,-18
North Dakota,2020,40,40,-10,-7,55,-9,-18
North Dakota,2020,41,41,-10,-7,27,-10,-18
North Dakota,2020,42,42,-14,-11,-4,-15,-20
North Dakota,2020,43,43,-13,-8,2,-17,-18
North Dakota,2020,44,44,-14,-10,23,-19,-19
North Dakota,2020,45,45,-18,-12,-7,-24,-21
North Dakota,2020,46,46,-19,-10,-7,-24,-18
North Dakota,2020,47,47,-24,-12,-12,-28,-32
North Dakota,2020,48,48,-14,-9,-2,-24,-16
North Dakota,2020,49,49,-14,-10,-7,-25,-16
North Dakota,2020,50,50,-11,-6,-18,-20,-15
North Dakota,2020,51,51,-25,-15,-17,-30,-36
North Dakota,2020,52,-17,-14,-13,-29,-32,11
Ohio,2020,7,7,4,0,20,3,-1
Ohio,2020,8,8,6,3,14,5,2
Ohio,2020,9,9,11,6,36,8,3
Ohio,2020,10,10,4,14,49,3,0
Ohio,2020,11,11,-30,7,18,-16,-23
Ohio,2020,12,12,-44,-14,46,-30,-39
Ohio,2020,13,13,-42,-12,57,-30,-42
Ohio,2020,14,14,-41,-9,48,-33,-45
Ohio,2020,15,15,-42,-17,19,-34,-43
Ohio,2020,16,16,-34,-11,73,-28,-40
Ohio,2020,17,17,-29,-6,78,-24,-38
Ohio,2020,18,18,-26,1,66,-22,-36
Ohio,2020,19,19,-23,-2,91,-18,-32
Ohio,2020,20,20,-17,0,106,-14,-30
Ohio,2020,21,21,-12,3,168,-10,-31
Ohio,2020,22,22,-8,5,160,-7,-24
Ohio,2020,23,23,-6,5,194,-4,-23
Ohio,2020,24,24,-5,6,213,-1,-23
Ohio,2020,25,25,-7,3,182,0,-24
Ohio,2020,26,26,-9,7,229,-2,-32
Ohio,2020,27,27,-7,2,181,0,-26
Ohio,2020,28,28,-7,3,199,-2,-24
Ohio,2020,29,29,-9,1,181,-3,-25
Ohio,2020,30,30,-8,1,174,-3,-25
Ohio,2020,31,31,-7,1,187,-2,-24
Ohio,2020,32,32,-8,1,188,-1,-24
Ohio,2020,33,33,-8,-1,181,-2,-23
Ohio,2020,34,34,-9,-2,144,-4,-22
Ohio,2020,35,35,-6,2,192,-2,-24
Ohio,2020,36,36,-10,-3,155,-7,-28
Ohio,2020,37,37,-6,-2,161,-5,-20
Ohio,2020,38,38,-8,-3,139,-8,-20
Ohio,2020,39,39,-8,-1,92,-9,-20
Ohio,2020,40,40,-10,-2,122,-8,-20
Ohio,2020,41,41,-11,-4,88,-9,-20
Ohio,2020,42,42,-14,-6,64,-12,-20
Ohio,2020,43,43,-14,-4,39,-15,-20
Ohio,2020,44,44,-13,-6,80,-16,-20
Ohio,2020,45,45,-15,-6,39,-19,-21
Ohio,2020,46,46,-19,-7,15,-20,-21
Ohio,2020,47,47,-24,-9,19,-25,-35
Ohio,2020,48,48,-19,-9,10,-23,-23
Ohio,2020,49,49,-17,-7,15,-22,-21
Ohio,2020,50,50,-15,-3,1,-20,-21
Ohio,2020,51,51,-23,-6,-1,-29,-39
Ohio,2020,52,-18,-9,-5,-29,-37,13
Oklahoma,2020,7,7,3,0,11,3,-1
Oklahoma,2020,8,8,9,5,11,7,3
Oklahoma,2020,9,9,13,10,46,11,3
Oklahoma,2020,10,10,5,13,25,8,0
Oklahoma,2020,11,11,-19,10,2,-6,-22
Oklahoma,2020,12,12,-33,-6,28,-19,-33
Oklahoma,2020,13,13,-35,-7,18,-23,-38
Oklahoma,2020,14,14,-34,-4,31,-23,-40
Oklahoma,2020,15,15,-32,-10,9,-23,-38
Oklahoma,2020,16,16,-25,-5,43,-18,-36
Oklahoma,2020,17,17,-17,5,73,-10,-33
Oklahoma,2020,18,18,-11,10,52,-8,-30
Oklahoma,2020,19,19,-11,6,46,-7,-28
Oklahoma,2020,20,20,-5,9,102,2,-26
Oklahoma,2020,21,21,-6,7,92,0,-28
Oklahoma,2020,22,22,-1,12,112,6,-21
Oklahoma,2020,23,23,-1,10,114,5,-21
Oklahoma,2020,24,24,-2,10,113,6,-21
Oklahoma,2020,25,25,-3,6,101,6,-22
Oklahoma,2020,26,26,-5,10,113,4,-30
Oklahoma,2020,27,27,-6,5,90,4,-25
Oklahoma,2020,28,28,-6,4,88,3,-24
Oklahoma,2020,29,29,-7,3,95,3,-24
Oklahoma,2020,30,30,-6,3,67,2,-24
Oklahoma,2020,31,31,-5,5,101,5,-23
Oklahoma,2020,32,32,-6,3,81,3,-24
Oklahoma,2020,33,33,-7,1,86,1,-22
Oklahoma,2020,34,34,-7,0,73,-1,-21
Oklahoma,2020,35,35,-5,3,58,1,-23
Oklahoma,2020,36,36,-9,-1,65,-4,-26
Oklahoma,2020,37,37,-6,-1,86,0,-19
Oklahoma,2020,38,38,-8,-1,61,-2,-19
Oklahoma,2020,39,39,-5,2,48,0,-18
Oklahoma,2020,40,40,-8,0,58,0,-18
Oklahoma,2020,41,41,-10,-2,42,0,-21
Oklahoma,2020,42,42,-11,-3,27,-3,-18
Oklahoma,2020,43,43,-11,-4,-1,-9,-23
Oklahoma,2020,44,44,-6,-1,41,-4,-17
Oklahoma,2020,45,45,-11,-4,5,-7,-19
Oklahoma,2020,46,46,-13,-3,1,-6,-20
Oklahoma,2020,47,47,-20,-5,6,-11,-35
Oklahoma,2020,48,48,-12,-3,-4,-10,-19
Oklahoma,2020,49,49,-14,-4,4,-11,-20
Oklahoma,2020,50,50,-11,-1,-8,-7,-20
Oklahoma,2020,51,51,-16,-2,9,-13,-36
Oklahoma,2020,52,-16,-7,-24,-17,-34,12
Oregon,2020,7,7,6,2,42,4,-2
Oregon,2020,8,8,9,5,31,6,3
Oregon,2020,9,9,9,8,31,5,2
Oregon,2020,10,10,1,11,27,-2,-2
Oregon,2020,11,11,-25,6,53,-21,-26
Oregon,2020,12,12,-44,-16,-2,-40,-41
Oregon,2020,13,13,-45,-16,-14,-43,-44
Oregon,2020,14,14,-41,-10,23,-41,-44
Oregon,2020,15,15,-39,-12,23,-39,-42
Oregon,2020,16,16,-36,-10,20,-38,-41
Oregon,2020,17,17,-31,-5,29,-33,-40
Oregon,2020,18,18,-27,3,48,-30,-37
Oregon,2020,19,19,-29,-3,22,-31,-36
Oregon,2020,20,20,-24,-1,45,-26,-34
Oregon,2020,21,21,-20,0,81,-23,-34
Oregon,2020,22,22,-15,4,74,-20,-29
Oregon,2020,23,23,-15,2,61,-21,-28
Oregon,2020,24,24,-13,4,90,-17,-28
Oregon,2020,25,25,-11,4,123,-14,-28
Oregon,2020,26,26,-13,7,116,-17,-34
Oregon,2020,27,27,-12,3,113,-14,-30
Oregon,2020,28,28,-11,4,128,-14,-29
Oregon,2020,29,29,-10,3,132,-14,-29
Oregon,2020,30,30,-10,4,129,-14,-29
Oregon,2020,31,31,-9,4,125,-14,-29
Oregon,2020,32,32,-11,3,129,-15,-30
Oregon,2020,33,33,-12,1,116,-16,-29
Oregon,2020,34,34,-11,0,117,-16,-28
Oregon,2020,35,35,-9,3,121,-17,-29
Oregon,2020,36,36,-19,-3,52,-26,-37
Oregon,2020,37,37,-17,-5,41,-26,-29
Oregon,2020,38,38,-15,-5,48,-23,-26
Oregon,2020,39,39,-12,-1,64,-20,-25
Oregon,2020,40,40,-14,-3,49,-23,-26
Oregon,2020,41,41,-15,-5,43,-22,-26
Oregon,2020,42,42,-15,-5,34,-24,-25
Oregon,2020,43,43,-13,-3,38,-24,-24
Oregon,2020,44,44,-17,-6,13,-29,-25
Oregon,2020,45,45,-18,-8,2,-31,-27
Oregon,2020,46,46,-25,-9,-3,-32,-29
Oregon,2020,47,47,-30,-8,7,-34,-40
Oregon,2020,48,48,-23,-6,8,-33,-28
Oregon,2020,49,49,-27,-8,-3,-36,-30
Oregon,2020,50,50,-21,-3,-4,-31,-28
Oregon,2020,51,51,-26,-5,10,-34,-41
Oregon,2020,52,-24,-8,5,-34,-39,13
Pennsylvania,2020,7,7,4,0,23,1,-1
Pennsylvania,2020,8,8,6,2,19,4,2
Pennsylvania,2020,9,9,8,5,22,4,2
Pennsylvania,2020,10,10,3,12,47,-4,-2
Pennsylvania,2020,11,11,-30,1,27,-33,-29
Pennsylvania,2020,12,12,-49,-23,-4,-52,-45
Pennsylvania,2020,13,13,-47,-21,-6,-52,-47
Pennsylvania,2020,14,14,-46,-17,14,-52,-49
Pennsylvania,2020,15,15,-48,-23,-9,-53,-47
Pennsylvania,2020,16,16,-43,-19,17,-50,-45
Pennsylvania,2020,17,17,-40,-15,12,-47,-44
Pennsylvania,2020,18,18,-34,-6,29,-43,-40
Pennsylvania,2020,19,19,-33,-8,51,-41,-38
Pennsylvania,2020,20,20,-28,-5,62,-41,-36
Pennsylvania,2020,21,21,-28,-6,82,-41,-37
Pennsylvania,2020,22,22,-23,-3,73,-36,-30
Pennsylvania,2020,23,23,-17,-1,101,-29,-28
Pennsylvania,2020,24,24,-15,0,107,-27,-28
Pennsylvania,2020,25,25,-14,-1,107,-24,-28
Pennsylvania,2020,26,26,-13,4,136,-26,-34
Pennsylvania,2020,27,27,-14,-2,101,-25,-29
Pennsylvania,2020,28,28,-12,1,128,-24,-28
Pennsylvania,2020,29,29,-13,-1,111,-26,-28
Pennsylvania,2020,30,30,-11,0,120,-25,-29
Pennsylvania,2020,31,31,-12,-2,110,-25,-29
Pennsylvania,2020,32,32,-12,-1,123,-24,-29
Pennsylvania,2020,33,33,-11,-2,121,-24,-28
Pennsylvania,2020,34,34,-12,-4,93,-25,-28
Pennsylvania,2020,35,35,-9,-1,121,-24,-28
Pennsylvania,2020,36,36,-15,-6,92,-30,-33
Pennsylvania,2020,37,37,-10,-3,99,-26,-25
Pennsylvania,2020,38,38,-11,-4,82,-27,-24
Pennsylvania,2020,39,39,-11,-2,68,-27,-23
Pennsylvania,2020,40,40,-13,-3,71,-28,-24
Pennsylvania,2020,41,41,-13,-4,61,-27,-24
Pennsylvania,2020,42,42,-14,-4,56,-27,-23
Pennsylvania,2020,43,43,-16,-6,18,-31,-24
Pennsylvania,2020,44,44,-13,-6,50,-30,-23
Pennsylvania,2020,45,45,-17,-7,14,-34,-24
Pennsylvania,2020,46,46,-20,-6,5,-35,-25
Pennsylvania,2020,47,47,-25,-9,17,-38,-37
Pennsylvania,2020,48,48,-21,-9,-5,-39,-28
Pennsylvania,2020,49,49,-21,-6,4,-39,-27
Pennsylvania,2020,50,50,-28,-8,-24,-41,-32
Pennsylvania,2020,51,51,-28,-7,-15,-42,-41
Pennsylvania,2020,52,-28,-11,-13,-43,-42,15
Rhode Island,2020,7,7,5,-4,28,0,-6
Rhode Island,2020,8,8,8,-1,32,5,3
Rhode Island,2020,9,9,8,4,30,2,3
Rhode Island,2020,10,10,4,13,64,-8,-1
Rhode Island,2020,11,11,-29,4,53,-40,-27
Rhode Island,2020,12,12,-44,-18,53,-55,-40
Rhode Island,2020,13,13,-47,-19,2,-60,-45
Rhode Island,2020,14,14,-45,-16,20,-60,-48
Rhode Island,2020,15,15,-46,-23,2,-64,-47
Rhode Island,2020,16,16,-40,-19,33,-60,-45
Rhode Island,2020,17,17,-37,-15,35,-57,-43
Rhode Island,2020,18,18,-30,-7,42,-52,-41
Rhode Island,2020,19,19,-28,-9,104,-48,-38
Rhode Island,2020,20,20,-23,-6,111,-49,-36
Rhode Island,2020,21,21,-19,-6,162,-45,-36
Rhode Island,2020,22,22,-13,-3,158,-39,-29
Rhode Island,2020,23,23,-9,-3,208,-34,-28
Rhode Island,2020,24,24,-4,0,256,-30,-27
Rhode Island,2020,25,25,-6,-3,234,-29,-28
Rhode Island,2020,26,26,-7,1,253,-31,-35
Rhode Island,2020,27,27,-4,-2,258,-29,-29
Rhode Island,2020,28,28,-4,-2,270,-28,-27
Rhode Island,2020,29,29,-4,-3,274,-28,-27
Rhode Island,2020,30,30,-4,-3,273,-29,-27
Rhode Island,2020,31,31,-4,-1,244,-32,-28
Rhode Island,2020,32,32,-7,-5,256,-32,-29
Rhode Island,2020,33,33,-8,-6,116,-31,-27
Rhode Island,2020,34,34,-8,-5,84,-33,-26
Rhode Island,2020,35,35,-4,-2,NA,-30,-25
Rhode Island,2020,36,36,-6,-4,213,-35,-30
Rhode Island,2020,37,37,-6,-4,182,-38,-24
Rhode Island,2020,38,38,-8,-6,167,-41,-23
Rhode Island,2020,39,39,-8,-3,139,-39,-22
Rhode Island,2020,40,40,-11,-5,131,-40,-23
Rhode Island,2020,41,41,-14,-7,97,-42,-26
Rhode Island,2020,42,42,-13,-7,114,-41,-23
Rhode Island,2020,43,43,-19,-7,31,-44,-24
Rhode Island,2020,44,44,-15,-6,94,-41,-23
Rhode Island,2020,45,45,-19,-8,50,-45,-26
Rhode Island,2020,46,46,-20,-7,34,-46,-24
Rhode Island,2020,47,47,-26,-12,32,-48,-37
Rhode Island,2020,48,48,-24,-9,9,-54,-27
Rhode Island,2020,49,49,-22,-7,24,-54,-27
Rhode Island,2020,50,50,-25,-8,-10,-54,-32
Rhode Island,2020,51,51,-24,-6,4,-51,-39
Rhode Island,2020,52,-24,-12,17,-49,-40,14
South Carolina,2020,7,7,2,0,4,5,-2
South Carolina,2020,8,8,8,2,11,9,2
South Carolina,2020,9,9,9,4,15,9,2
South Carolina,2020,10,10,7,13,52,8,0
South Carolina,2020,11,11,-18,12,37,-9,-18
South Carolina,2020,12,12,-35,-8,5,-29,-32
South Carolina,2020,13,13,-36,-7,-12,-35,-38
South Carolina,2020,14,14,-39,-6,-14,-39,-42
South Carolina,2020,15,15,-37,-14,-26,-38,-41
South Carolina,2020,16,16,-32,-9,-2,-32,-38
South Carolina,2020,17,17,-23,-2,17,-24,-36
South Carolina,2020,18,18,-19,5,13,-21,-33
South Carolina,2020,19,19,-15,3,59,-15,-30
South Carolina,2020,20,20,-13,2,30,-11,-28
South Carolina,2020,21,21,-10,2,63,-8,-29
South Carolina,2020,22,22,-5,6,75,-1,-22
South Carolina,2020,23,23,-4,5,96,2,-22
South Carolina,2020,24,24,-3,7,109,2,-22
South Carolina,2020,25,25,-6,4,89,2,-24
South Carolina,2020,26,26,-7,6,117,1,-32
South Carolina,2020,27,27,-8,1,82,0,-26
South Carolina,2020,28,28,-7,3,106,-1,-25
South Carolina,2020,29,29,-8,1,98,-2,-25
South Carolina,2020,30,30,-7,2,104,-1,-25
South Carolina,2020,31,31,-9,0,83,-5,-25
South Carolina,2020,32,32,-9,-1,73,-5,-25
South Carolina,2020,33,33,-9,-2,40,-6,-24
South Carolina,2020,34,34,-11,-4,29,-9,-23
South Carolina,2020,35,35,-5,1,47,0,-25
South Carolina,2020,36,36,-9,-3,63,-7,-27
South Carolina,2020,37,37,-9,-4,46,-10,-21
South Carolina,2020,38,38,-9,-5,42,-9,-19
South Carolina,2020,39,39,-6,-2,41,-6,-19
South Carolina,2020,40,40,-8,-4,41,-7,-19
South Carolina,2020,41,41,-8,-3,46,-5,-19
South Carolina,2020,42,42,-9,-4,36,-6,-19
South Carolina,2020,43,43,-10,-3,17,-10,-19
South Carolina,2020,44,44,-9,-4,30,-11,-19
South Carolina,2020,45,45,-12,-6,3,-14,-19
South Carolina,2020,46,46,-12,-3,4,-11,-17
South Carolina,2020,47,47,-17,-4,12,-10,-33
South Carolina,2020,48,48,-11,-4,-8,-15,-18
South Carolina,2020,49,49,-11,-4,6,-16,-18
South Carolina,2020,50,50,-11,-2,-21,-12,-19
South Carolina,2020,51,51,-17,-5,-9,-12,-38
South Carolina,2020,52,-14,-6,-4,-12,-37,12
South Dakota,2020,7,7,3,4,10,3,-2
South Dakota,2020,8,8,7,10,14,6,1
South Dakota,2020,9,9,10,11,31,12,3
South Dakota,2020,10,10,3,20,29,5,-1
South Dakota,2020,11,11,-20,12,8,-10,-17
South Dakota,2020,12,12,-34,-1,18,-23,-26
South Dakota,2020,13,13,-38,-4,32,-28,-32
South Dakota,2020,14,14,-37,-1,46,-30,-35
South Dakota,2020,15,15,-40,-12,9,-29,-36
South Dakota,2020,16,16,-30,-1,71,-21,-33
South Dakota,2020,17,17,-21,7,115,-12,-31
South Dakota,2020,18,18,-16,12,79,-10,-28
South Dakota,2020,19,19,-14,11,89,-5,-26
South Dakota,2020,20,20,-6,17,183,7,-24
South Dakota,2020,21,21,-4,17,212,9,-27
South Dakota,2020,22,22,0,21,217,16,-19
South Dakota,2020,23,23,3,23,238,19,-18
South Dakota,2020,24,24,7,25,264,26,-17
South Dakota,2020,25,25,7,26,305,33,-18
South Dakota,2020,26,26,8,33,354,32,-27
South Dakota,2020,27,27,7,26,309,37,-20
South Dakota,2020,28,28,9,27,323,36,-18
South Dakota,2020,29,29,9,28,329,37,-18
South Dakota,2020,30,30,9,28,321,37,-19
South Dakota,2020,31,31,17,34,366,47,-18
South Dakota,2020,32,32,23,40,448,50,-19
South Dakota,2020,33,33,9,25,238,30,-18
South Dakota,2020,34,34,6,20,61,-4,-17
South Dakota,2020,35,35,12,28,NA,NA,-18
South Dakota,2020,36,36,4,16,195,20,-23
South Dakota,2020,37,37,4,16,217,20,-16
South Dakota,2020,38,38,2,15,189,16,-15
South Dakota,2020,39,39,2,15,135,15,-15
South Dakota,2020,40,40,0,13,148,14,-15
South Dakota,2020,41,41,-2,12,97,13,-17
South Dakota,2020,42,42,-11,4,24,-2,-16
South Dakota,2020,43,43,-6,7,35,-2,-15
South Dakota,2020,44,44,-6,6,62,-2,-15
South Dakota,2020,45,45,-11,4,11,-7,-17
South Dakota,2020,46,46,-9,6,28,-3,-15
South Dakota,2020,47,47,-15,4,25,-8,-31
South Dakota,2020,48,48,-7,7,27,-8,-13
South Dakota,2020,49,49,-7,8,24,-9,-13
South Dakota,2020,50,50,-5,12,14,-5,-12
South Dakota,2020,51,51,-18,7,13,-10,-34
South Dakota,2020,52,-9,5,18,-10,-30,11
Tennessee,2020,7,7,3,0,23,3,0
Tennessee,2020,8,8,9,5,16,7,2
Tennessee,2020,9,9,12,10,43,9,1
Tennessee,2020,10,10,3,14,30,1,-2
Tennessee,2020,11,11,-18,13,9,-13,-18
Tennessee,2020,12,12,-37,-6,15,-28,-33
Tennessee,2020,13,13,-37,-5,5,-32,-38
Tennessee,2020,14,14,-38,-5,1,-37,-42
Tennessee,2020,15,15,-34,-10,-1,-33,-39
Tennessee,2020,16,16,-31,-7,1,-31,-37
Tennessee,2020,17,17,-21,1,29,-22,-34
Tennessee,2020,18,18,-15,7,21,-20,-31
Tennessee,2020,19,19,-12,6,50,-16,-28
Tennessee,2020,20,20,-10,7,72,-12,-27
Tennessee,2020,21,21,-8,6,96,-14,-28
Tennessee,2020,22,22,-4,8,101,-10,-22
Tennessee,2020,23,23,-3,8,121,-7,-21
Tennessee,2020,24,24,-1,10,128,-4,-21
Tennessee,2020,25,25,-3,7,122,-2,-23
Tennessee,2020,26,26,-6,10,146,-6,-32
Tennessee,2020,27,27,-5,6,126,-1,-25
Tennessee,2020,28,28,-6,6,124,-3,-24
Tennessee,2020,29,29,-6,6,118,-3,-24
Tennessee,2020,30,30,-4,6,114,-2,-24
Tennessee,2020,31,31,-2,9,144,1,-24
Tennessee,2020,32,32,-5,5,110,-1,-24
Tennessee,2020,33,33,-7,3,77,-11,-23
Tennessee,2020,34,34,-8,1,63,-14,-22
Tennessee,2020,35,35,-6,1,83,-11,-24
Tennessee,2020,36,36,-7,2,118,-7,-27
Tennessee,2020,37,37,-4,3,113,-6,-20
Tennessee,2020,38,38,-7,1,80,-8,-19
Tennessee,2020,39,39,-5,3,82,-6,-19
Tennessee,2020,40,40,-7,1,71,-7,-21
Tennessee,2020,41,41,-6,1,72,-4,-22
Tennessee,2020,42,42,-11,-3,57,-11,-20
Tennessee,2020,43,43,-8,1,46,-12,-18
Tennessee,2020,44,44,-9,-1,45,-13,-18
Tennessee,2020,45,45,-10,-2,29,-15,-19
Tennessee,2020,46,46,-11,0,23,-12,-18
Tennessee,2020,47,47,-17,-1,27,-16,-34
Tennessee,2020,48,48,-11,-1,9,-15,-18
Tennessee,2020,49,49,-11,-1,10,-17,-18
Tennessee,2020,50,50,-9,3,1,-13,-19
Tennessee,2020,51,51,-18,-2,6,-21,-39
Tennessee,2020,52,-11,-2,19,-20,-35,11
Texas,2020,7,7,2,1,4,2,-1
Texas,2020,8,8,9,5,17,7,3
Texas,2020,9,9,9,8,23,6,3
Texas,2020,10,10,5,15,23,1,-7
Texas,2020,11,11,-21,10,-8,-20,-24
Texas,2020,12,12,-38,-10,-9,-36,-37
Texas,2020,13,13,-41,-15,-27,-43,-43
Texas,2020,14,14,-41,-14,-26,-45,-45
Texas,2020,15,15,-38,-16,-25,-42,-42
Texas,2020,16,16,-35,-13,-16,-40,-40
Texas,2020,17,17,-28,-7,6,-34,-38
Texas,2020,18,18,-22,0,7,-31,-34
Texas,2020,19,19,-21,-3,10,-31,-33
Texas,2020,20,20,-17,-1,23,-27,-31
Texas,2020,21,21,-16,-3,23,-28,-31
Texas,2020,22,22,-13,0,27,-25,-26
Texas,2020,23,23,-12,-1,36,-23,-26
Texas,2020,24,24,-12,1,36,-22,-27
Texas,2020,25,25,-17,-4,18,-24,-29
Texas,2020,26,26,-19,-2,27,-27,-36
Texas,2020,27,27,-19,-6,18,-25,-32
Texas,2020,28,28,-18,-5,17,-25,-31
Texas,2020,29,29,-18,-7,16,-26,-31
Texas,2020,30,30,-17,-7,14,-25,-31
Texas,2020,31,31,-15,-5,25,-23,-30
Texas,2020,32,32,-16,-6,15,-23,-30
Texas,2020,33,33,-17,-7,15,-24,-29
Texas,2020,34,34,-17,-8,9,-25,-29
Texas,2020,35,35,-16,-9,-1,-24,-30
Texas,2020,36,36,-16,-9,9,-24,-33
Texas,2020,37,37,-15,-8,19,-23,-27
Texas,2020,38,38,-17,-10,2,-25,-27
Texas,2020,39,39,-13,-6,11,-21,-26
Texas,2020,40,40,-16,-7,4,-22,-26
Texas,2020,41,41,-14,-7,9,-20,-26
