date,country,age_group,doses,J12_J18_prim,acm_noj_prim
2015-07-01,Ecuador,2-59m,Any,23,122
2015-08-01,Ecuador,2-59m,Any,18,108
2015-09-01,Ecuador,2-59m,Any,15,105
2015-10-01,Ecuador,2-59m,Any,13,131
2015-11-01,Ecuador,2-59m,Any,16,128
2015-12-01,Ecuador,2-59m,Any,18,130
2016-01-01,Ecuador,2-59m,Any,23,130
2016-02-01,Ecuador,2-59m,Any,20,122
2016-03-01,Ecuador,2-59m,Any,32,116
2016-04-01,Ecuador,2-59m,Any,20,158
2016-05-01,Ecuador,2-59m,Any,22,117
2016-06-01,Ecuador,2-59m,Any,16,141
2016-07-01,Ecuador,2-59m,Any,16,136
2016-08-01,Ecuador,2-59m,Any,14,97
2016-09-01,Ecuador,2-59m,Any,19,125
2016-10-01,Ecuador,2-59m,Any,26,119
2016-11-01,Ecuador,2-59m,Any,14,115
2016-12-01,Ecuador,2-59m,Any,13,99
